Algorithm,Accuracy,Time,Run
knn,0.8459135866736075,149948,1
DecisionTree,0.8443519000520562,11580,1
DecisionTreeSpark,0.8641332639250391,1750,1
RandomForest,0.8079125455491931,10425,1
RandomForestSpark,0.8594482040603852,1541,1
knn,0.8412285268089537,141524,2
DecisionTree,0.8443519000520562,8689,2
DecisionTreeSpark,0.722019781363873,479,2
RandomForest,0.8079125455491931,9602,2
RandomForestSpark,0.8365434669442998,653,2
knn,0.8422696512233212,140331,3
DecisionTree,0.8443519000520562,8517,3
DecisionTreeSpark,0.859968766267569,481,3
RandomForest,0.8079125455491931,8321,3
RandomForestSpark,0.8610098906819365,597,3
knn,0.8459135866736075,139382,4
DecisionTree,0.8396668401874023,9408,4
DecisionTreeSpark,0.7423217074440396,471,4
RandomForest,0.8079125455491931,6443,4
RandomForestSpark,0.855804268610099,598,4
knn,0.8339406559083811,139363,5
DecisionTree,0.8396668401874023,9312,5
DecisionTreeSpark,0.8266527850078085,435,5
RandomForest,0.8079125455491931,6721,5
RandomForestSpark,0.7209786569495055,593,5
knn,0.8479958355023425,139147,6
DecisionTree,0.8396668401874023,9614,6
DecisionTreeSpark,0.706923477355544,489,6
RandomForest,0.8511192087454451,6307,6
RandomForestSpark,0.7511712649661635,801,6
knn,0.8443519000520562,139682,7
DecisionTree,0.8443519000520562,9101,7
DecisionTreeSpark,0.8641332639250391,439,7
RandomForest,0.8079125455491931,6948,7
RandomForestSpark,0.8453930244664237,591,7
knn,0.836022904737116,139478,8
DecisionTree,0.8443519000520562,9041,8
DecisionTreeSpark,0.706923477355544,427,8
RandomForest,0.8079125455491931,8484,8
RandomForestSpark,0.7355543987506507,604,8
knn,0.8433107756376887,139542,9
DecisionTree,0.8443519000520562,8523,9
DecisionTreeSpark,0.7152524726704841,419,9
RandomForest,0.812597605413847,5403,9
RandomForestSpark,0.862051015096304,576,9
knn,0.8396668401874023,138576,10
DecisionTree,0.8443519000520562,8506,10
DecisionTreeSpark,0.7225403435710568,431,10
RandomForest,0.8079125455491931,8539,10
RandomForestSpark,0.7157730348776679,611,10
knn,0.8349817803227486,138768,11
DecisionTree,0.8443519000520562,8500,11
DecisionTreeSpark,0.7225403435710568,432,11
RandomForest,0.8079125455491931,7526,11
RandomForestSpark,0.862051015096304,577,11
knn,0.842790213430505,140023,12
DecisionTree,0.8396668401874023,9301,12
DecisionTreeSpark,0.8266527850078085,421,12
RandomForest,0.8079125455491931,5743,12
RandomForestSpark,0.7568974492451848,610,12
knn,0.8464341488807913,137869,13
DecisionTree,0.8443519000520562,8748,13
DecisionTreeSpark,0.859968766267569,423,13
RandomForest,0.8375845913586674,8202,13
RandomForestSpark,0.8396668401874023,599,13
knn,0.8459135866736075,136683,14
DecisionTree,0.8396668401874023,9400,14
DecisionTreeSpark,0.8245705361790734,440,14
RandomForest,0.8079125455491931,7940,14
RandomForestSpark,0.737116085372202,565,14
knn,0.8474752732951588,136755,15
DecisionTree,0.8396668401874023,9386,15
DecisionTreeSpark,0.8245705361790734,426,15
RandomForest,0.8079125455491931,5673,15
RandomForestSpark,0.8443519000520562,598,15
knn,0.846954711087975,136404,16
DecisionTree,0.8396668401874023,8972,16
DecisionTreeSpark,0.706923477355544,414,16
RandomForest,0.8079125455491931,7958,16
RandomForestSpark,0.8594482040603852,582,16
knn,0.8422696512233212,136283,17
DecisionTree,0.8443519000520562,8330,17
DecisionTreeSpark,0.8589276418532015,397,17
RandomForest,0.8079125455491931,5424,17
RandomForestSpark,0.7433628318584071,567,17
knn,0.8412285268089537,135072,18
DecisionTree,0.8396668401874023,9017,18
DecisionTreeSpark,0.8625715773034878,417,18
RandomForest,0.8308172826652785,5357,18
RandomForestSpark,0.7459656428943259,575,18
knn,0.8417490890161374,135726,19
DecisionTree,0.8396668401874023,8905,19
DecisionTreeSpark,0.7038001041124414,407,19
RandomForest,0.8079125455491931,7024,19
RandomForestSpark,0.8615304528891202,576,19
knn,0.84487246225924,135504,20
DecisionTree,0.8443519000520562,8374,20
DecisionTreeSpark,0.8568453930244664,401,20
RandomForest,0.8079125455491931,7300,20
RandomForestSpark,0.8511192087454451,550,20
