Algorithm,Accuracy,Time,Run
knn,0.8386257157730349,168358,1
DecisionTree,0.8443519000520562,13923,1
DecisionTreeSpark,0.859968766267569,2225,1
RandomForest,0.8079125455491931,15655,1
RandomForestSpark,0.7537740760020822,1728,1
knn,0.8453930244664237,153678,2
DecisionTree,0.8443519000520562,11060,2
DecisionTreeSpark,0.8266527850078085,508,2
RandomForest,0.8079125455491931,8965,2
RandomForestSpark,0.7183758459135867,856,2
knn,0.8532014575741801,145438,3
DecisionTree,0.8443519000520562,9594,3
DecisionTreeSpark,0.7407600208224883,567,3
RandomForest,0.7568974492451848,8901,3
RandomForestSpark,0.7610619469026548,710,3
knn,0.8438313378448724,141221,4
DecisionTree,0.8443519000520562,10052,4
DecisionTreeSpark,0.859968766267569,458,4
RandomForest,0.8079125455491931,8908,4
RandomForestSpark,0.7568974492451848,676,4
knn,0.8464341488807913,153364,5
DecisionTree,0.8443519000520562,10199,5
DecisionTreeSpark,0.8625715773034878,585,5
RandomForest,0.8079125455491931,8874,5
RandomForestSpark,0.7100468505986466,729,5
knn,0.8375845913586674,141837,6
DecisionTree,0.8443519000520562,9942,6
DecisionTreeSpark,0.7423217074440396,441,6
RandomForest,0.8079125455491931,9148,6
RandomForestSpark,0.7355543987506507,618,6
knn,0.8464341488807913,141365,7
DecisionTree,0.8396668401874023,10910,7
DecisionTreeSpark,0.8625715773034878,448,7
RandomForest,0.8079125455491931,7590,7
RandomForestSpark,0.7558563248308173,602,7
knn,0.8407079646017699,140797,8
DecisionTree,0.8396668401874023,9920,8
DecisionTreeSpark,0.722019781363873,437,8
RandomForest,0.7678292555960438,8397,8
RandomForestSpark,0.7272254034357105,573,8
knn,0.84903695991671,141069,9
DecisionTree,0.8443519000520562,10154,9
DecisionTreeSpark,0.8625715773034878,443,9
RandomForest,0.8079125455491931,9419,9
RandomForestSpark,0.7256637168141593,596,9
knn,0.8438313378448724,141292,10
DecisionTree,0.8443519000520562,9486,10
DecisionTreeSpark,0.7225403435710568,430,10
RandomForest,0.8271733472149921,9730,10
RandomForestSpark,0.7647058823529411,590,10
knn,0.8381051535658511,141660,11
DecisionTree,0.8443519000520562,9628,11
DecisionTreeSpark,0.8568453930244664,414,11
RandomForest,0.8079125455491931,10839,11
RandomForestSpark,0.7553357626236336,588,11
knn,0.8412285268089537,140756,12
DecisionTree,0.8396668401874023,10652,12
DecisionTreeSpark,0.8636127017178553,471,12
RandomForest,0.8079125455491931,9602,12
RandomForestSpark,0.8537220197813639,673,12
knn,0.8443519000520562,140881,13
DecisionTree,0.8396668401874023,10006,13
DecisionTreeSpark,0.8245705361790734,418,13
RandomForest,0.8079125455491931,8711,13
RandomForestSpark,0.7251431546069755,597,13
knn,0.8459135866736075,139264,14
DecisionTree,0.8396668401874023,10661,14
DecisionTreeSpark,0.8245705361790734,437,14
RandomForest,0.8079125455491931,9777,14
RandomForestSpark,0.7532535137948985,590,14
knn,0.8396668401874023,140313,15
DecisionTree,0.8396668401874023,9875,15
DecisionTreeSpark,0.706923477355544,473,15
RandomForest,0.8079125455491931,10730,15
RandomForestSpark,0.8662155127537741,583,15
knn,0.8391462779802187,141760,16
DecisionTree,0.8396668401874023,10951,16
DecisionTreeSpark,0.8266527850078085,440,16
RandomForest,0.8079125455491931,10382,16
RandomForestSpark,0.7365955231650182,611,16
knn,0.8407079646017699,140638,17
DecisionTree,0.8396668401874023,10069,17
DecisionTreeSpark,0.7225403435710568,419,17
RandomForest,0.773555439875065,9968,17
RandomForestSpark,0.7334721499219157,603,17
knn,0.8370640291514836,142109,18
DecisionTree,0.8396668401874023,10095,18
DecisionTreeSpark,0.8641332639250391,432,18
RandomForest,0.8443519000520562,6905,18
RandomForestSpark,0.7287870900572618,591,18
knn,0.8526808953669963,140824,19
DecisionTree,0.8396668401874023,10668,19
DecisionTreeSpark,0.859968766267569,447,19
RandomForest,0.8079125455491931,7218,19
RandomForestSpark,0.7298282144716294,606,19
knn,0.8401874023945861,140630,20
DecisionTree,0.8396668401874023,10704,20
DecisionTreeSpark,0.7194169703279542,460,20
RandomForest,0.8079125455491931,8936,20
RandomForestSpark,0.8662155127537741,565,20
