Algorithm,Accuracy,Time,Run
knn,0.842790213430505,156015,1
DecisionTree,0.8443519000520562,11122,1
DecisionTreeSpark,0.8245705361790734,1727,1
RandomForest,0.8079125455491931,10884,1
RandomForestSpark,0.8412285268089537,1010,1
knn,0.8417490890161374,147661,2
DecisionTree,0.8443519000520562,9096,2
DecisionTreeSpark,0.7407600208224883,1058,2
RandomForest,0.5288912024986986,7559,2
RandomForestSpark,0.8485163977095262,888,2
knn,0.8365434669442998,145929,3
DecisionTree,0.8396668401874023,9353,3
DecisionTreeSpark,0.8636127017178553,481,3
RandomForest,0.8079125455491931,8190,3
RandomForestSpark,0.8339406559083811,675,3
knn,0.8422696512233212,144804,4
DecisionTree,0.8443519000520562,9633,4
DecisionTreeSpark,0.8589276418532015,499,4
RandomForest,0.8079125455491931,5907,4
RandomForestSpark,0.8344612181155648,647,4
knn,0.8355023425299323,145772,5
DecisionTree,0.8396668401874023,9981,5
DecisionTreeSpark,0.706923477355544,442,5
RandomForest,0.8079125455491931,5443,5
RandomForestSpark,0.8375845913586674,621,5
knn,0.8438313378448724,145807,6
DecisionTree,0.8396668401874023,10397,6
DecisionTreeSpark,0.8266527850078085,458,6
RandomForest,0.8079125455491931,5916,6
RandomForestSpark,0.7152524726704841,622,6
knn,0.8417490890161374,145070,7
DecisionTree,0.8443519000520562,9212,7
DecisionTreeSpark,0.7225403435710568,448,7
RandomForest,0.8079125455491931,6425,7
RandomForestSpark,0.8604893284747527,631,7
knn,0.8474752732951588,145171,8
DecisionTree,0.8396668401874023,9620,8
DecisionTreeSpark,0.7194169703279542,434,8
RandomForest,0.8079125455491931,4652,8
RandomForestSpark,0.8537220197813639,622,8
knn,0.8422696512233212,143468,9
DecisionTree,0.8396668401874023,10229,9
DecisionTreeSpark,0.7194169703279542,430,9
RandomForest,0.8079125455491931,7201,9
RandomForestSpark,0.8646538261322227,632,9
knn,0.8505986465382613,142699,10
DecisionTree,0.8443519000520562,9051,10
DecisionTreeSpark,0.7423217074440396,462,10
RandomForest,0.8079125455491931,5554,10
RandomForestSpark,0.7152524726704841,578,10
knn,0.8495575221238938,141995,11
DecisionTree,0.8443519000520562,8574,11
DecisionTreeSpark,0.722019781363873,421,11
RandomForest,0.8079125455491931,6126,11
RandomForestSpark,0.7277459656428943,586,11
knn,0.8443519000520562,141156,12
DecisionTree,0.8396668401874023,9341,12
DecisionTreeSpark,0.706923477355544,410,12
RandomForest,0.8079125455491931,5638,12
RandomForestSpark,0.7678292555960438,574,12
knn,0.8407079646017699,141277,13
DecisionTree,0.8443519000520562,9031,13
DecisionTreeSpark,0.7038001041124414,424,13
RandomForest,0.8094742321707444,8368,13
RandomForestSpark,0.7199375325351379,567,13
knn,0.8453930244664237,140886,14
DecisionTree,0.8443519000520562,9240,14
DecisionTreeSpark,0.722019781363873,416,14
RandomForest,0.8079125455491931,6024,14
RandomForestSpark,0.8516397709526289,585,14
knn,0.84487246225924,140897,15
DecisionTree,0.8396668401874023,9425,15
DecisionTreeSpark,0.859968766267569,420,15
RandomForest,0.8079125455491931,5676,15
RandomForestSpark,0.8563248308172826,575,15
knn,0.8453930244664237,140624,16
DecisionTree,0.8443519000520562,8696,16
DecisionTreeSpark,0.8625715773034878,411,16
RandomForest,0.8079125455491931,8918,16
RandomForestSpark,0.7339927121290994,588,16
knn,0.8479958355023425,139841,17
DecisionTree,0.8443519000520562,8433,17
DecisionTreeSpark,0.8568453930244664,423,17
RandomForest,0.7954190525767829,6658,17
RandomForestSpark,0.8537220197813639,592,17
knn,0.8479958355023425,140587,18
DecisionTree,0.8396668401874023,9736,18
DecisionTreeSpark,0.8589276418532015,437,18
RandomForest,0.8079125455491931,5016,18
RandomForestSpark,0.7511712649661635,622,18
knn,0.8485163977095262,140599,19
DecisionTree,0.8443519000520562,9286,19
DecisionTreeSpark,0.7407600208224883,426,19
RandomForest,0.8079125455491931,5354,19
RandomForestSpark,0.7490890161374284,608,19
knn,0.8375845913586674,140958,20
DecisionTree,0.8396668401874023,9653,20
DecisionTreeSpark,0.8641332639250391,416,20
RandomForest,0.8625715773034878,9151,20
RandomForestSpark,0.7261842790213431,585,20
