Algorithm,Accuracy,Time,Run
knn,0.8351893095768375,47124,1
DecisionTree,0.0645879732739421,7744,1
DecisionTreeSpark,0.2071269487750557,2236,1
RandomForest,0.6146993318485523,15609,1
RandomForestSpark,1.0,1033,1
knn,0.8084632516703786,30071,2
DecisionTree,0.0645879732739421,19890,2
DecisionTreeSpark,0.2071269487750557,705,2
RandomForest,0.0,10512,2
RandomForestSpark,0.1291759465478842,1221,2
knn,0.7861915367483296,24442,3
DecisionTree,1.0,1124,3
DecisionTreeSpark,0.16703786191536749,890,3
RandomForest,0.0,8425,3
RandomForestSpark,1.0,653,3
knn,0.8040089086859689,21408,4
DecisionTree,1.0,1160,4
DecisionTreeSpark,0.2071269487750557,348,4
RandomForest,0.0,10143,4
RandomForestSpark,0.8530066815144766,742,4
knn,0.7951002227171492,21316,5
DecisionTree,0.0645879732739421,18690,5
DecisionTreeSpark,0.155902004454343,391,5
RandomForest,0.0,8702,5
RandomForestSpark,0.8552338530066815,581,5
knn,0.7817371937639198,20446,6
DecisionTree,0.0645879732739421,18414,6
DecisionTreeSpark,0.155902004454343,384,6
RandomForest,0.0,9410,6
RandomForestSpark,0.8619153674832962,601,6
knn,0.8084632516703786,20577,7
DecisionTree,1.0,1160,7
DecisionTreeSpark,0.2071269487750557,411,7
RandomForest,0.0,6319,7
RandomForestSpark,0.36971046770601335,461,7
knn,0.8017817371937639,20755,8
DecisionTree,0.0645879732739421,18322,8
DecisionTreeSpark,0.8619153674832962,397,8
RandomForest,0.1714922048997773,14226,8
RandomForestSpark,0.5100222717149221,472,8
knn,0.799554565701559,20312,9
DecisionTree,0.0645879732739421,2808,9
DecisionTreeSpark,1.0,334,9
RandomForest,0.0,9102,9
RandomForestSpark,1.0,409,9
knn,0.8307349665924276,20747,10
DecisionTree,1.0,1081,10
DecisionTreeSpark,1.0,287,10
RandomForest,1.0,7816,10
RandomForestSpark,1.0,375,10
knn,0.8106904231625836,20263,11
DecisionTree,1.0,16399,11
DecisionTreeSpark,0.155902004454343,354,11
RandomForest,0.6837416481069042,7097,11
RandomForestSpark,0.13140311804008908,490,11
knn,0.7973273942093542,20494,12
DecisionTree,1.0,16341,12
DecisionTreeSpark,0.8596881959910914,457,12
RandomForest,0.49665924276169265,7352,12
RandomForestSpark,1.0,264,12
knn,0.8017817371937639,19770,13
DecisionTree,1.0,1051,13
DecisionTreeSpark,0.5456570155902004,311,13
RandomForest,0.0,13298,13
RandomForestSpark,1.0,303,13
knn,0.8106904231625836,19343,14
DecisionTree,1.0,1038,14
DecisionTreeSpark,0.41870824053452116,370,14
RandomForest,0.0,6722,14
RandomForestSpark,1.0,273,14
knn,0.7973273942093542,19448,15
DecisionTree,1.0,1028,15
DecisionTreeSpark,0.8619153674832962,346,15
RandomForest,0.0,6844,15
RandomForestSpark,1.0,327,15
knn,0.8374164810690423,20009,16
DecisionTree,1.0,16471,16
DecisionTreeSpark,0.8596881959910914,317,16
RandomForest,0.37193763919821826,6058,16
RandomForestSpark,0.2071269487750557,234,16
knn,0.7973273942093542,18949,17
DecisionTree,1.0,16108,17
DecisionTreeSpark,1.0,255,17
RandomForest,0.18485523385300667,8439,17
RandomForestSpark,0.8641425389755011,524,17
knn,0.7906458797327395,19376,18
DecisionTree,1.0,1052,18
DecisionTreeSpark,0.155902004454343,321,18
RandomForest,0.9977728285077951,12863,18
RandomForestSpark,0.5055679287305123,572,18
knn,0.8040089086859689,19136,19
DecisionTree,1.0,16405,19
DecisionTreeSpark,1.0,437,19
RandomForest,0.9844097995545658,7080,19
RandomForestSpark,1.0,264,19
knn,0.779510022271715,19466,20
DecisionTree,1.0,16404,20
DecisionTreeSpark,0.46547884187082406,469,20
RandomForest,0.9910913140311804,9101,20
RandomForestSpark,0.5077951002227171,466,20
