Algorithm,Accuracy,Time,Run
knn,0.7964509394572025,63952,1
DecisionTree,0.8006263048016702,8740,1
DecisionTreeSpark,0.8611691022964509,1490,1
RandomForest,0.5302713987473904,9524,1
RandomForestSpark,0.8622129436325678,1195,1
knn,0.8058455114822547,50020,2
DecisionTree,0.7964509394572025,5450,2
DecisionTreeSpark,0.8559498956158664,804,2
RandomForest,0.7390396659707724,7961,2
RandomForestSpark,0.791231732776618,705,2
knn,0.8068893528183716,47807,3
DecisionTree,0.8006263048016702,4924,3
DecisionTreeSpark,0.8559498956158664,371,3
RandomForest,0.7651356993736952,5352,3
RandomForestSpark,0.68580375782881,565,3
knn,0.7891440501043842,47533,4
DecisionTree,0.8006263048016702,5009,4
DecisionTreeSpark,0.8611691022964509,387,4
RandomForest,0.7390396659707724,6295,4
RandomForestSpark,0.7974947807933194,538,4
knn,0.8048016701461378,47339,5
DecisionTree,0.8006263048016702,4585,5
DecisionTreeSpark,0.8277661795407099,394,5
RandomForest,0.7390396659707724,5161,5
RandomForestSpark,0.8402922755741128,617,5
knn,0.7985386221294363,47186,6
DecisionTree,0.7964509394572025,4767,6
DecisionTreeSpark,0.7881002087682673,334,6
RandomForest,0.7390396659707724,5174,6
RandomForestSpark,0.8382045929018789,549,6
knn,0.7995824634655533,46352,7
DecisionTree,0.7964509394572025,4481,7
DecisionTreeSpark,0.8559498956158664,353,7
RandomForest,0.7390396659707724,5231,7
RandomForestSpark,0.8434237995824635,539,7
knn,0.81419624217119,46369,8
DecisionTree,0.8006263048016702,4485,8
DecisionTreeSpark,0.8559498956158664,337,8
RandomForest,0.7943632567849687,4555,8
RandomForestSpark,0.8392484342379958,516,8
knn,0.8048016701461378,46665,9
DecisionTree,0.7964509394572025,4339,9
DecisionTreeSpark,0.8569937369519833,346,9
RandomForest,0.7390396659707724,4988,9
RandomForestSpark,0.8048016701461378,500,9
knn,0.7891440501043842,45876,10
DecisionTree,0.8006263048016702,4424,10
DecisionTreeSpark,0.7118997912317327,350,10
RandomForest,0.5219206680584552,5380,10
RandomForestSpark,0.8455114822546973,484,10
knn,0.8204592901878914,45789,11
DecisionTree,0.8006263048016702,4327,11
DecisionTreeSpark,0.8611691022964509,339,11
RandomForest,0.7390396659707724,4566,11
RandomForestSpark,0.8569937369519833,482,11
knn,0.7985386221294363,46316,12
DecisionTree,0.7964509394572025,4674,12
DecisionTreeSpark,0.8277661795407099,342,12
RandomForest,0.7724425887265136,4856,12
RandomForestSpark,0.6764091858037579,478,12
knn,0.8079331941544885,45792,13
DecisionTree,0.8006263048016702,4424,13
DecisionTreeSpark,0.7860125260960334,351,13
RandomForest,0.7390396659707724,5020,13
RandomForestSpark,0.7077244258872651,493,13
knn,0.8006263048016702,45657,14
DecisionTree,0.7964509394572025,4458,14
DecisionTreeSpark,0.6680584551148225,341,14
RandomForest,0.7390396659707724,6547,14
RandomForestSpark,0.8611691022964509,499,14
knn,0.7943632567849687,45510,15
DecisionTree,0.8006263048016702,4718,15
DecisionTreeSpark,0.7118997912317327,337,15
RandomForest,0.7390396659707724,4802,15
RandomForestSpark,0.708768267223382,473,15
knn,0.8110647181628392,46033,16
DecisionTree,0.7964509394572025,4669,16
DecisionTreeSpark,0.6680584551148225,339,16
RandomForest,0.7390396659707724,4822,16
RandomForestSpark,0.7045929018789144,489,16
knn,0.8110647181628392,45495,17
DecisionTree,0.8006263048016702,4636,17
DecisionTreeSpark,0.8569937369519833,322,17
RandomForest,0.7390396659707724,4757,17
RandomForestSpark,0.6774530271398748,469,17
knn,0.7881002087682673,45658,18
DecisionTree,0.7964509394572025,4390,18
DecisionTreeSpark,0.721294363256785,389,18
RandomForest,0.7390396659707724,5376,18
RandomForestSpark,0.8559498956158664,484,18
knn,0.8006263048016702,45620,19
DecisionTree,0.8006263048016702,4867,19
DecisionTreeSpark,0.7139874739039666,329,19
RandomForest,0.7390396659707724,6307,19
RandomForestSpark,0.6315240083507306,497,19
knn,0.7974947807933194,46095,20
DecisionTree,0.8006263048016702,4514,20
DecisionTreeSpark,0.7077244258872651,341,20
RandomForest,0.7505219206680585,4457,20
RandomForestSpark,0.6941544885177453,542,20
