Algorithm,Accuracy,Time,Run
knn,0.8006585612968592,490641,1
DecisionTree,0.7773556231003039,25722,1
DecisionTreeSpark,0.7386018237082067,2083,1
RandomForest,0.6096757852077,13422,1
RandomForestSpark,0.8419452887537994,1480,1
knn,0.8062310030395137,492075,2
DecisionTree,0.8009118541033434,22007,2
DecisionTreeSpark,0.809017223910841,632,2
RandomForest,0.7758358662613982,12568,2
RandomForestSpark,0.8153495440729484,877,2
knn,0.8052178318135765,486949,3
DecisionTree,0.8009118541033434,20801,3
DecisionTreeSpark,0.71580547112462,980,3
RandomForest,0.7978723404255319,13406,3
RandomForestSpark,0.71580547112462,1004,3
knn,0.810790273556231,484966,4
DecisionTree,0.8009118541033434,20719,4
DecisionTreeSpark,0.8416919959473151,595,4
RandomForest,0.7900202634245187,10440,4
RandomForestSpark,0.8302938196555217,872,4
knn,0.8024316109422492,486274,5
DecisionTree,0.8009118541033434,20868,5
DecisionTreeSpark,0.7142857142857143,587,5
RandomForest,0.7960992907801419,14002,5
RandomForestSpark,0.7345491388044579,818,5
knn,0.8024316109422492,485300,6
DecisionTree,0.8009118541033434,20461,6
DecisionTreeSpark,0.7345491388044579,578,6
RandomForest,0.795339412360689,10567,6
RandomForestSpark,0.8351063829787234,812,6
knn,0.7993920972644377,484256,7
DecisionTree,0.7773556231003039,19229,7
DecisionTreeSpark,0.7147922998986829,584,7
RandomForest,0.7758358662613982,8828,7
RandomForestSpark,0.7165653495440729,797,7
knn,0.8054711246200608,484969,8
DecisionTree,0.7773556231003039,18962,8
DecisionTreeSpark,0.7142857142857143,617,8
RandomForest,0.7758358662613982,10669,8
RandomForestSpark,0.7152988855116514,829,8
knn,0.8069908814589666,481462,9
DecisionTree,0.8009118541033434,20982,9
DecisionTreeSpark,0.7345491388044579,556,9
RandomForest,0.7758358662613982,11520,9
RandomForestSpark,0.725177304964539,791,9
knn,0.7988855116514691,481133,10
DecisionTree,0.8009118541033434,20612,10
DecisionTreeSpark,0.7147922998986829,567,10
RandomForest,0.7758358662613982,11510,10
RandomForestSpark,0.8123100303951368,776,10
knn,0.8067375886524822,478471,11
DecisionTree,0.7773556231003039,18134,11
DecisionTreeSpark,0.8275075987841946,603,11
RandomForest,0.7758358662613982,13926,11
RandomForestSpark,0.7345491388044579,717,11
knn,0.8059777102330293,477628,12
DecisionTree,0.7773556231003039,18489,12
DecisionTreeSpark,0.7142857142857143,576,12
RandomForest,0.8130699088145896,9116,12
RandomForestSpark,0.8437183383991894,791,12
knn,0.8036980749746707,478497,13
DecisionTree,0.8009118541033434,20603,13
DecisionTreeSpark,0.828774062816616,558,13
RandomForest,0.7758358662613982,13960,13
RandomForestSpark,0.8345997973657548,757,13
knn,0.8034447821681864,480446,14
DecisionTree,0.8009118541033434,20579,14
DecisionTreeSpark,0.7175785207700102,585,14
RandomForest,0.7935663627152989,15153,14
RandomForestSpark,0.8264944275582573,795,14
knn,0.8042046605876393,482903,15
DecisionTree,0.8009118541033434,20193,15
DecisionTreeSpark,0.71580547112462,589,15
RandomForest,0.7753292806484295,17797,15
RandomForestSpark,0.8361195542046606,3620,15
knn,0.8047112462006079,500138,16
DecisionTree,0.7773556231003039,20842,16
DecisionTreeSpark,0.8275075987841946,1001,16
RandomForest,0.6613475177304965,15390,16
RandomForestSpark,0.7310030395136778,1013,16
knn,0.8072441742654508,502499,17
DecisionTree,0.7773556231003039,18750,17
DecisionTreeSpark,0.7175785207700102,583,17
RandomForest,0.7758358662613982,11534,17
RandomForestSpark,0.8345997973657548,800,17
knn,0.8087639311043566,501903,18
DecisionTree,0.8009118541033434,20161,18
DecisionTreeSpark,0.828774062816616,590,18
RandomForest,0.7758358662613982,8463,18
RandomForestSpark,0.8188956433637284,749,18
knn,0.8097771023302939,498651,19
DecisionTree,0.7773556231003039,18902,19
DecisionTreeSpark,0.8275075987841946,575,19
RandomForest,0.7758358662613982,11369,19
RandomForestSpark,0.711499493414387,807,19
knn,0.8062310030395137,497523,20
DecisionTree,0.7773556231003039,18001,20
DecisionTreeSpark,0.7087132725430598,590,20
RandomForest,0.8044579533941236,11232,20
RandomForestSpark,0.7315096251266464,782,20
